review ID,review name,reviewer's name,reviewer's profile,review rating,review date,review text,verified purchase,vine customer review of free product,images
RHPT5WFU40BLI," Buy in store instead",GG :),https://www.amazon.com/gp/profile/amzn1.account.AFODPP6PVOHXE7HOHLJM3CDC4HNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"March 9, 2019","This might be a fake aquaphor so people beware. I have always purchased at either target or Wal-Mart and will go back to doing that. I use it on both my toddler for diaper rashes on a daily use. Well this tub has a yellowish tint to it, I compared it to the store bought aquaphor tubes (travel ones) and the tubes ointment was a clear color and a thicker paste, and the tub has a yellow tint and is not really thick, I only became aware of the difference because my son’s rash is getting worse rather than better and now he is getting his rash outside the diaper. I am guessing it’s an allergic reaction to this tub aquaphor. So parents please use with caution.",true,false,
RM5CILDBOOY6X," Amazon, check your sourcing for this product",Tmn1717,https://www.amazon.com/gp/profile/amzn1.account.AH3LCAT4IGRHTROML2JTHN7F3LZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"November 20, 2017","Edit: we have continued to use Aquaphor from Amazon, and aside from the one weird jar that we got a while ago, it’s been great. Prevents bum rash like a dream when applied liberally with every diaper change 👍

Amazon needs to double check their sourcing. The first time I ordered this, it was awesome. It’s so great for preventative skin care. I use it at almost every diaper change and my baby has literally NEVER had a diaper rash. However, second time I ordered this product from Amazon, I got a tub of what looked a lot more like Vasaline than Aquaphor. I know the two products are pretty similar, but I’m disappointed :( Maybe Aquaphor had a bad batch or changed it’s processing or something, but Amazon’s sourcing is the more likely culprit.",true,false,
R251BN9VMFR6XJ," I received a very strange container. It had no ...",AG,https://www.amazon.com/gp/profile/amzn1.account.AEYZKV7UBGWKZCCFF64YAOPGZGHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"March 14, 2017",I received a very strange container. It had no labeling. It was white with a blue lid. Not sure if authentic or not. Returning to Amazon. See pics.,true,false,"https://images-na.ssl-images-amazon.com/images/I/71+SQji69BL.jpg
https://images-na.ssl-images-amazon.com/images/I/71-PFx0VZJL.jpg
https://images-na.ssl-images-amazon.com/images/I/71JpPqMpxuL.jpg"
R2SN74JAGQMRJU," Different but works",pinacolina,https://www.amazon.com/gp/profile/amzn1.account.AEEETUF5M7XJFI5FDDUFCZASFE5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,3,"June 5, 2019","Like others said, this aquaphor bought on amazon is different than the ones I have bought at local grocery stores or Walmart, it has a yellow tint to it and is a lot softer than the others. It does seem to work fine tho, I have twins & I go through a lot of this stuff! however seems weird to me & I won’t be buying anymore on amazon. Pictured is the one from amazon compared to one I bought locally.",true,false,https://images-na.ssl-images-amazon.com/images/I/71nxXZtodGL.jpg
R178LQ9N4Z6TF2," Adult Use for Hydrating, Healing, Chub rub magician.",JerseyGal,https://www.amazon.com/gp/profile/amzn1.account.AH6GYHBEBRPVBLV4MC5RXF3WNPEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"April 6, 2018","So close to 5 stars. This product is AMAZING! The only reason I am giving it 4 stars is because I don't love the slightly greasy texture and finish (it is not a lotion. Almost same texture as Vaseline). However, it is hands down the most hydrating and healing product I have ever used for my skin surpassing dermatologist prescribed healing ointments and steroids. My skin was WRECKED! For over 2 years I taught swim lessons for 20 hours a week in combination salt water/chlorine pool. I finally had to quit when a new prescription caused me to experience contact dermatitis every time I went in the water. The damage was extensive. Within days of using this product my dried, scaly, cracked and bleeding skin was healing. My arm hair started growing back within a week. My cuticles stopped peeling back from the nails. And the most unanticipated additional use is phenomenal as a chub-rub protector and healer.
Since the weather is getting nicer, I've been hiking anywhere from 2-5 miles a day. Unfortunately on this past Monday eve, I wore the wrong leggings and experienced a terrible case of chub rub. It finally occurred to me last night after 3 days of suffering that I could use this close to my privates because it's usually used for diaper rash and on babies sensitive skin. This morning when I woke up pain-free and to much smoother skin. Also, a little goes a long way. I'll update in the future when I run out but I imagine that's going to be some point next year.",true,false,
RSFR5PJCTL4D2," Dry Skin/Eczema CURED!!!",SB,https://www.amazon.com/gp/profile/amzn1.account.AFK7SR2H5L6E6UQMSISDRQTPF7JA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"July 13, 2017","This is the best possible stuff to use on gentle baby skin. My little one screamed every time I tried every other lotion- this fixes EVERYTHING!!! She started to get some dry spots and mild eczema and after putting this on every night, it was better in a matter of days and completely gone in a few weeks!!! It's now the go-to product in our house!",true,false,"https://images-na.ssl-images-amazon.com/images/I/61bJPePU31L.jpg
https://images-na.ssl-images-amazon.com/images/I/71XBpiLn8VL.jpg"
R28A29WR3945B2," Best diaper ointment I have found!!",Chelsea,https://www.amazon.com/gp/profile/amzn1.account.AEL6GSHHMWRYHWO2GFQ3AZSHODJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"August 17, 2017","So after trying Desitin (noooo, smells like fish), A&D ointment (never again) and burts bees diaper cream (eeeh ok) , this stuff produced miracles!! My baby doesn't get bad diaper rash, but it was hard to find a cream that wouldn't make slight redness worse!
Then I found this ointment!! It has a Vaseline vibe, goes on easy, wipes off easy, has great protection for my babe's skin, and no adverse reactions!! Love this stuff!! Also great for drool rash for a teething baby. It has cleared up my little ones skin in less than a day!! Highly recommend!!",true,false,
R245ECOK9MPM4E," DO NOT BUY!!@",Dominique,https://www.amazon.com/gp/profile/amzn1.account.AEWEK6KRKPATJYIR5DCJPQT5BYTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"June 29, 2020",THIS PRODUCT IS NOT WHAT IS EXPECTED! IT IS FALSE ADVERTISING I EVEN TOOK THIS PRODUCT TO MY DAUGHTER PEDIATRICIAN AND SHE ALSO SAID IT WAS NOTHING BUT VASELINE IN A JAR!!! MY DAUGHTER HAD SUCH A BAD RADH IT TURNED INTO A SERIOUS INFECTION....I HAVE CONTACTED AMAZON AND REQUESTED THIS ITEM TO BE REMOVED FROM THEIR SITE. IT IS APPALLING FOR THIS VENDOR TO BE SELLING THIS AND THE STRESS IT CAUSED ME WAS SO HEARTBREAKING. DO NOT BUY THIS PRODUCT PLEASE SAVE YOYR MONEY TIME AND CHILD!,true,false,
REO27B3SMQ8RD," A cure for everything",3kidsAndAMommy,https://www.amazon.com/gp/profile/amzn1.account.AHBQPCBXFBXCQBAVWXTWCYAX4Q3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"September 14, 2018","Living in the desert in the winter means see really dry chapped skin for me and the kids. I've had this one jar for about 6 months and we use it daily. My kids both have severe eczema. I put this on their breakouts and within a couple days , it's cured. My oldest gets very dry cracked hands from all the hand washing at school. I started keeping a little bit in a container for him to put on at school and his hands are back to normal and no longer hurting. I will put this on my feet with socks on at bed and my feet are instantly more moisturized in one night. This ointment works miracles.",true,false,
R1J3Z3QTJ7E1U6," Great for a skincare addict",Stefanie,https://www.amazon.com/gp/profile/amzn1.account.AHD252OBGZZS2RXVFECKAE2U5Y4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"June 5, 2017","I love this stuff! It's my last step (occlusive step) after my nighttime skincare routine. It locks in moisture, soothes, protects. It heals chapped lips overnight. Dryness doesn't stand a chance! It heals blemishes SUPER fast, once they are flat I will apply a big blob to it overnight, and it keeps the wound soft, scab free, and redness is reduced by a lot by the next AM. This jar also lasts a REALLY long time. I actually only bought a new one because I had dropped mine a while ago and it cracked on the bottom. I taped it up with some clear tape, but once I get close to the bottom I will open my fresh jar, so I don't risk putting contaminated ointment on my face :P
/skincareaddiction
/asianbeauty",true,false,
