review ID,review name,reviewer's name,reviewer's profile,review rating,review date,review text,verified purchase,vine customer review of free product,images,image 1,image 2
R130ZD3XOR1F7T," Best decision EVER",Kelsey Coultrip,https://www.amazon.com/gp/profile/amzn1.account.AE3H6VALKP2F2YBKGX3DNDJYGSHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"April 4, 2017","Absolutely amazed at this stuff. I had a terrible allergic reaction and broke out with eczema all over my face (have suffered with it for years, just never on my face). My eyes were completely swollen shut and red, my face was peeling, in pain, inflamed and DRY DRY DRY. I tried everything and I mean everything. I ordered this and nearly instantly felt and saw results. These two pictures are LESS THAN 24 HOURS APART. I've been using it now for 3 days and my face is 100% back to normal. I really like that this product is a cream versus a lotion, I feel it helps soak in better and KEEPS the skin hydrated. 100% recommend.",true,false,"https://images-na.ssl-images-amazon.com/images/I/719eqra2-6L.jpg
https://images-na.ssl-images-amazon.com/images/I/71JrEi7rDfL.jpg",https://images-na.ssl-images-amazon.com/images/I/719eqra2-6L.jpg,https://images-na.ssl-images-amazon.com/images/I/71JrEi7rDfL.jpg
R3GSQNIANFBS6K," LOVE, LOVE, LOVE this stuff! ❤️😍❤️",D. Christian,https://www.amazon.com/gp/profile/amzn1.account.AFSTLK7US73M727RFAY4VK4KZINQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"May 30, 2019","LOVE, LOVE, LOVE, this stuff! My husband has extremely sensitive skin and eczema that normally requires medication from the doctor by prescription. I found this here on Amazon, and it has helped both of us so much. His skin has cleared up beyond recognition! He had horrible red, dry skin, but especially on his head, face, back and oh boy, his feet were a mess. He wanted no one to see them! Now, the skin on his back and feet is beautiful, just totally normal and moisturized. Really astounding! No scaling, no cracking. His head took prescription shampoo, and his face took a prescription too, along with CeraVe Eczema Creamy Oil that I also found here on Amazon as well. He uses the Aveeno Eczema Therapy Balm on his body and the CeraVe only on his face.
I can promise you, he was NOT all about putting on all this ""gooey stuff"" and he thought I was just nagging him. 😂 I was. Lol!
But when he realized the relief and the difference, I don't even need to say anything these days. He just uses it consistently because of what it's done for his skin. The relief is fantastic, no scents, and very calming.
The picture I took shows my finger having dipped some out. I was trying to show you it is soft! Not like Crisco, like so many other solutions out there. It goes on easily and quickly. It takes a little bit to absorb in, but it does absorb; and it feels great. Works wonders for dry and/or aging skin! I have older, dry skin these days (ick!) and no matter what lotion or cream I used before repeatedly on my arms, within minutes they look old and dryed up again. If instead I used the Aveeno Balm, after it absorbs, I am left with soft moisturized skin looking like when I was young and didn't even need lotion on my arms! Wow! Finally!
This stuff has changed our skin issues so much! Beyond worth the cost for such drastic changes for us both. Try it. You'll love it.",true,false,"https://images-na.ssl-images-amazon.com/images/I/6197ei+2v7L.jpg
https://images-na.ssl-images-amazon.com/images/I/61uG2O8JDqL.jpg",https://images-na.ssl-images-amazon.com/images/I/6197ei+2v7L.jpg,https://images-na.ssl-images-amazon.com/images/I/61uG2O8JDqL.jpg
R3RE9XV7FSE7DL," Best non-steroid brand for dyshidrotic eczema (and extremely dry, cracking hands in general)",Steph K.,https://www.amazon.com/gp/profile/amzn1.account.AFTED7LSXHBK6YD72SM3AH5YGIPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"May 16, 2018","I can NOT recommend this enough. I have terribly dry, cracking, and painful skin and dyshidrotic eczema. This is the ONLY company that has successfully treated my eczema and dry skin without causing more flareups (outside of strong steroids). I have not seen my own soft hands for the past 4 years...seriously...this balm, the baby version (which seems to have slight mods to the amounts of ingredients based on their position in the list), and the cream are absolute godsends. I am so happy with Aveeno and these eczema therapy lotions/creams/balms....seriously, please try it (the baby version comes in a 1 oz sample size!).

I am also really happy that any of the products in this colloidal oatmeal line have never felt greasy and the balm is not very heavy on the skin - sinks in nicely without residue.",true,false,,,
RA6032FMBNTEE," Made my sons eczema WORSE! Protect yourself, DO NOT USE!",Marilee,https://www.amazon.com/gp/profile/amzn1.account.AHEUGA7FIA3FNSJ23R5QH4WLJMUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"February 25, 2019",HORRIBLE product! If I could give it zero stars I would. My baby had a very mild case of eczema which I had been treating with regular lotion. It was getting much better but I figured getting something specific for it would be even better. I was so wrong! I put this on my baby before he went to bed and he woke up 50x worse than he was the night before. It got so bad that his eczema actually turned into little sores that started oozing (overnight) and it spread. Now I’m doing “damage control” from a product that was supposed to HELP not harm! Protect yourself and your babies. DO NOT BUY OR USE THIS PRODUCT.,true,false,"https://images-na.ssl-images-amazon.com/images/I/71JsbL6SPtL.jpg
https://images-na.ssl-images-amazon.com/images/I/71jbA5kjKqL.jpg",https://images-na.ssl-images-amazon.com/images/I/71JsbL6SPtL.jpg,https://images-na.ssl-images-amazon.com/images/I/71jbA5kjKqL.jpg
R1NXCV72JELX7O," best thing ever for eczema",Andrea,https://www.amazon.com/gp/profile/amzn1.account.AEBETCOBVFALDLDOBLLW74LU7B7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"January 16, 2020","Ok honestly, this stuff is as great as the reviews say. I’ve had really bad eczema on my eyelids/around my eyes for months. It got bad enough to where I even went to see a doctor and was prescribed steroid pills for a week. The pills worked but as soon as I was done taking them the eczema came back and started spreading. I tried sooo many things (moisturizer, Vaseline, coconut oil, hydrocortisone, etc) but nothing helped. I’ve been using this for several days and I already see a major difference. No more unbearable itchiness or puffy eyes! Yay! Highly recommend this product for anyone with eczema. Especially if it’s on your face. Other unscented lotion made the affected skin burn but this stuff is gentle and I have no complaints!",true,false,"https://images-na.ssl-images-amazon.com/images/I/61MbUOvpZoL.jpg
https://images-na.ssl-images-amazon.com/images/I/61mD9u5RVvL.jpg",https://images-na.ssl-images-amazon.com/images/I/61MbUOvpZoL.jpg,https://images-na.ssl-images-amazon.com/images/I/61mD9u5RVvL.jpg
R105CIA1LBN8N8," Do yourself a favor",Kieran,https://www.amazon.com/gp/profile/amzn1.account.AH2ZHPPRF2SHVV7OZGSK7IM6S42A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"February 19, 2019","Honestly, I tried to find out why this worked. Oatmeal, to me, does not seem like something that would help with skin issues. I didn't think it was going to work, especially because the doctor had already prescribed a steroid cream and that did nothing. To my surprise, it not only worked to eliminate the itching pain. But also helped to keep the skin hydrated so it healed faster. I have attached the before and after pictures. Honestly I can't believe this worked, and I still have no idea how. But it did and I am glad. If you have eczema and you are on the fence, please do yourself a favor and at least try it. It isn't expensive and it worked extremely well for me. The results shown are within 3 weeks applying the lotion whenever I started to feel itchy, usually around twice a day. Within two days the redness was gone, and within a week the dry skin had subsided.",true,false,"https://images-na.ssl-images-amazon.com/images/I/51AODKYtYZL.jpg
https://images-na.ssl-images-amazon.com/images/I/61o7fpQR+qL.jpg",https://images-na.ssl-images-amazon.com/images/I/51AODKYtYZL.jpg,https://images-na.ssl-images-amazon.com/images/I/61o7fpQR+qL.jpg
R39R7445VWOQMD," Works Quick!",Vanessa Callahan,https://www.amazon.com/gp/profile/amzn1.account.AHJDO22OAPT2OYZO73BMQ7JZAAUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"November 20, 2018","Got this for my roommate who has Eczema and it helped clear up most of his rash areas in just a couple days. Warm water tends to cause a slight flare up, but after using the lotion again, it calms it down almost completely. I recommend this product!",true,false,https://images-na.ssl-images-amazon.com/images/I/718dyo71DdL.jpg,https://images-na.ssl-images-amazon.com/images/I/718dyo71DdL.jpg,
R33XVG03IYL9FM," Flare-Up Free for Two Years",KJ,https://www.amazon.com/gp/profile/amzn1.account.AGPCXC3S7UT7U76YFKCRETYRRP3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"January 9, 2016","I discovered this product two winters ago when I was experiencing a particularly bad eczema outbreak on my hands and wrists. My hands were red, itchy, dry and irritated to the point where the only thing I could do to keep from itching was to tie ice packs on my hands to numb them completely. One particularly cold night I was driving home and I could feel my hands starting to burn and itch underneath my winter gloves. It got so bad that I had to pull over and put on some lotion, which, as usual, did little to remedy the situation. So I stopped at a store hoping to find something that worked and saw Aveeno's Eczema Therapy lotion. I was skeptical because I'd tried other lotions, including over-the-counter ones recommended by medical professionals and even a bottle of lotion that came with my steroid prescription, but experienced little to no clinical benefit (the one that came with my steroid prescription actually made my hands sting and burn even more). I was wary of spending another $12+ on a lotion that turned out to be greasy and ineffective.

But Aveeno freakin' worked!!! My eczema tends to flare during the winter, when my hands are exposed to drastic temperature changes and when I wash my hands too much. As I'm a hopeless germaphobe living in Cleveland, this used to mean that my hands were raw 6 months out of the year. After just a few weeks of using Aveeno, my hands healed completely. Besides whatever specific eczema-soothing ingredients it contains, the reason I think this product works so well is because it provides a good protective barrier for your skin. If I wash my hands within an hour of applying it, I can still feel that the lotion is on there even after I've washed and dried them. But unlike some other lotions recommended for eczema that I've tried, this one absorbs easily and is not at all greasy. It also doesn't have a strong smell - medicinal or otherwise. I use it religiously on my hands year round and as an all over body lotion in the winter or if I've noticed my skin feeling particularly dry and/or itchy.

I may sound a bit overenthusiastic (and no, I don't work for Aveeno), but I'm just happy that I don't have to strap ice packs to my hands any more or feel embarrassed because people are eyeballing my hands while talking to me. If your eczema is driving you nuts, I'd say give it a try.",true,false,,,
RZDEAD4SYBUBG," Lifesaver for itchy skin for a senior.",Geekishly,https://www.amazon.com/gp/profile/amzn1.account.AFKMQ47N7ZGEFHBOZSQGWF5HU2PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"November 29, 2017","Bought for my mom who has had some allergic reactions to some meds in the form of skin rashes and awful itching. The dermatologist told her to get this, slather it on and it really helped tremendously.

Best to use at night with old grubby pjs or warmups -- pretty darn sticky & doesn't absorb quickly. Might work better after a hot bath, shower while pores are open. I don't really know if it leaves any stains or spots, I haven't noticed, and mom hasn't mentioned.

It has made a major difference in her quality of life day to day since she started the meds that cause the itching & outbreaks.",true,false,,,
R5A6U9GZHHQKU," Best lotion I've used for my dry skin and eczema",DawgPwnd,https://www.amazon.com/gp/profile/amzn1.account.AGKSLMSFYZQJ4FYXOZFLDHNNUDHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"April 11, 2018","This is the best lotion I've used. I'm a 30 y/o adult but I was born with extremely dry skin and get occasional rashes and eczema spots. I've tried several lotions for years at a time, including Eucerin, Cetaphil, Cerave, Vasaline, etc. I saw this one day and figured I'd give it a go and my skin is better than it has ever been. The first couple times you use it, your skin may feel tacky for a few hours, maybe even after you wake up if you put it on at night. That does go away though...a week or so after using it daily on my entire body, I noticed the tackiness had reduced significantly, and now I don't even notice it's there. Definitely give it a try, especially if you get it when it's about $11 on Amazon. You won't regret it!",true,false,,,
