review ID,review name,reviewer's name,reviewer's profile,review rating,review date,review text,verified purchase,vine customer review of free product,images
R379B7HWHHJ1WG," Selling Old Product - not current version",Pops,https://www.amazon.com/gp/profile/amzn1.account.AG7OQY5DWY2JZGIYMHVPVZGYHHQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"April 9, 2019","The listed ingredients on Amazon's website did not indicate it contained Xantham Gum. Upon receiving this order, The ingredients listed on the actual product included Xantham Gum. I contacted CerVe (Johnson & Johnson) and they indicated that Amazon must be selling an older version. The FDA has stated that Xantham Gum should not be in children products as it interferes with their growth. This isn't the first time that ingredients on Amazon's website differ from the ingredients in the products received. A very dangerous situation for someone with multiple food & chemical sensitvities.",true,false,
R2SSUZC0RBUELM," Helps our baby with eczema",TheGummyMummy,https://www.amazon.com/gp/profile/amzn1.account.AHI5R2HAMQYA2MZ5ZCTAS64O3HAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"July 24, 2018","Cerave was recommended to us by our daughter's pediatrician to help with her eczema. While she still has eczema, this cream is fantastic with keeping her skin smooth and keeping her irritation at bay. She no longer has the red bumps or splotchy red spots on her skin and rarely has flare ups anymore! We use Cerave every night after bath time and not only does it keep our baby's skin smooth, but it keeps mama's hands silky smooth as well! During our first vacation, we made the decision to bring several sample lotions of different brands and we found they just were not the same. We highly recommend this baby cream!",true,false,"https://images-na.ssl-images-amazon.com/images/I/41q2Xnda2WL.jpg
https://images-na.ssl-images-amazon.com/images/I/51V22H8N7bL.jpg"
R10LNCC0HA6UG3," Dehydrated acne prone skin",Neressa Bacchus,https://www.amazon.com/gp/profile/amzn1.account.AG4HYPH67LUFH57RKY3QIQG66WEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"July 22, 2018","This product has been a miracle for my dehydrated skin. I was suffering from very dehydrated, oily skin that looked bumpy/leathery and broke out constantly. I’ve seen a drastic difference since I began using this product and love it because it deeply moisturizes but feels light on my face.",true,false,
RMIMCX6IRSRRS," Fungal acne safe",Stephanie,https://www.amazon.com/gp/profile/amzn1.account.AFC6KSWWRRUSJTGPZOQ7SYLB7XNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"September 12, 2019",No scent! It works well for those who suffer from fungal acne. I don't have to use more than a pea size. My skin is extremely sensitive and I have no break outs or reactions,true,false,
RN7MGPLRLKLH4," Miracle cream. Healed my baby's severe eczema in 7 ...",Ceebee,https://www.amazon.com/gp/profile/amzn1.account.AHAT5ZLSF5T73U5I7DSZ4SIWAEJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 12, 2018","Miracle cream. Healed my baby's severe eczema in 7 days of peristant application. The trick was to apply it regularly - after meals, before and after naps, etc. We tried everything imaginable for months and this was the only thing that was effective.",true,false,https://images-na.ssl-images-amazon.com/images/I/61cjta5tUWL.jpg
R1ZZXFLONFB7GL," Only cream that cleared up my baby's eczema!",Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFEWTXOT72AH5ATGY6MWBXKXO6KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"January 13, 2020","We tried so many creams marketed for eczema (most containing oatmeal) and they all made my baby's eczema worse. We were desperate to find a cream that would help and stumbled upon this cream. It did wonders clearing up his eczema and as long as we use it daily it keeps it from flaring up again, this is glycerin based and doesn't contain oatmeal. Writing this review in case it might help other parents who have children with eczema.",true,false,
R1H13UUQFDF4YG," Not JUST for babies, but for grown-ups hands as well.",Dsunfish2000,https://www.amazon.com/gp/profile/amzn1.account.AHGF5GBEOICCZE2QCI43SVK2V22Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"June 3, 2019","This baby cream is simply - amazing! Besides being wonderful for my adult face after shaving, it is terrific for my hands. SO MUCH BETTER than those $28 and $38 hand cream that has all the latest trendy ingredients. It goes on thick and seems as if it might be grease, but it's not. It dries in a second, to a smooth, soft and hydrating skin. Last all day and CAN be bit difficult to wash off. ZERO grease and tackiness. My new year round hand cream and face.... sometimes.",true,false,
R12MIMTJXZ8ALD," Love this moisturizer creme better than anything I've used.",S. Wallace,https://www.amazon.com/gp/profile/amzn1.account.AG3GWSLV2MN7ZG6D4SBTN7IR6MAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 31, 2018","First time trying this and I'm glad I did. The reviews sounded good so I expected it to work at least as well as the non-prescription creams you get at the pharmacy. I got it for the skin on my arms which has been so dry for several months. It has made a big difference in just the two weeks I've been using it. I even tried it on my face and surprisingly, I like it better than my expensive face moisturizer. My skin feels so much more moist and no rashes or itching from the cream. I'll reorder more of this since it is working so well for me.",true,false,
R1SO3YJ748VGD4," My new Holy Grail",Katelyn,https://www.amazon.com/gp/profile/amzn1.account.AFP6DH66DE5CEAMDCPAPDKS4OZMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 9, 2020","Bought this to help strengthen my moisture barrier. I've only used it one night so far and can already tell a major difference in my skin. My skin is usually red around cheeks and chin area but I put a thin layer of this on after my moisturizer before bed and woke up with one cheek almost looking completely healed. Which is a big deal because I've been working on fixing this issue for almost a year. Most products sting and irritate which exacerbates the issue. My acne scarring on my chin even looks lighter after one night. The texture feels creamy but not too heavy. I experienced no irritation or stinging. And it's fragrance free which is great for sensitive skin. I got the recommendation for this from the angel that updates the simpleskincarescience.com. Seriously, if you're having skin issues he knows what he's talking about.",true,false,
RQ9DHW5XCWB9B," Best for sensitive skin",Tricia Christianson,https://www.amazon.com/gp/profile/amzn1.account.AGVPTI6YDFF2N6JFHNMPXBK4QUXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"November 16, 2018","This is the best moisturizer I've found for sensitive skin. My son (3) has very sensitive skin, and I do, as well. In the winter my hands get dry/chapped and any lotion (even Cetaphil) that claimed it was fragrance free or for sensitive skin would sting my hands. This is the only lotion that doesn't sting my chapped skin, and actually seems to improve it. It also seems to be the only lotion/moisturizer that doesn't irritate my son's sensitive skin. I use the lotion and the moisturizer for both of us. It works great. I love it. I would recommend it to anyone who suffers from eczema or chapped skin. It is difficult to find in stores, so I order it on here. It's a little pricey, but worth it.",true,false,
R3DL9K8UIOCAAM," Finally something that works for baby eczema!",Tori Ray,https://www.amazon.com/gp/profile/amzn1.account.AEB26B6VFES7EEE2V3Q7RNISUUNQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"October 22, 2020","I have been trying every lotion, cream, moisturizer out there. Oatmeal baths, hydrocortisone, you name it. This cream is finallyyyyy doing the job. It is not exactly a magical solution, it still requires frequent applications, but it has only taken a few days of diligence and my son's skin is finally improving! The parts of his skin without flare ups are baby soft. The areas that are at the beginning stages of a flare up are kept at bay and the flare ups are reduced, but not fully eradicated. I still spot treat with hydrocortisone, and I've still been doing oatmeal baths, but I think I've finally found a skin care routine that is helping my son be less itchy, and more comfortable.",true,false,
R10A4XXHPKYCY4," Perfect for a baby with sensitive skin",Nik,https://www.amazon.com/gp/profile/amzn1.account.AFCJQJVHI3H7XVC3P7NZY7BVPS3Q/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"August 17, 2019","My newborn has sensitive skin (honestly though, what newborn doesn't? their skin is brand new you should totally be using something gentle regardless) and I was trying to avoid using unnecessary products on him. But, after we had to switch our soap to Dr. Bronners (which is amazing btw) his skin was a little dry. The Dr. Bronners totally cleared any redness/bumps but left him a little dry. The cerave gave him baby soft skin back within 1-2 uses. The cream is thick, but soaks in pretty quickly. It's unscented and smells like nothing really but lotion. Have been using for almost two months and its still amazing.",true,false,
R36Q14DMNKQI3O," The best!",LadyV,https://www.amazon.com/gp/profile/amzn1.account.AFEICVHOBWHQZVJ2LCGT5CY25KMA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"July 21, 2019","I use this on myself and prefer it to the ""adult"" version simply because it's paraben free. I don't consider myself the paraben police, but until I'm absolutely sold on their safety, I just choose to avoid them whenever possible.
CeraVe is the best moisturizer I've ever used. Very hydrating, non greasy, and fragrance fee without any funky odor - ugh yeah, you know the one.
What more can I ask for? Just a bigger tub of this stuff for us bigger babies!
Be sure to check the expiration date! I recently received one that expired five months ago, however a replacement is on the way and all is well in the world :)",true,false,
R15UMC6I136LN," Healed my baby’s skin so fast!",Denise Colin,https://www.amazon.com/gp/profile/amzn1.account.AETLZH2NHR4UKOHUKFZY5BOE67GQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"December 2, 2019","Let me just start off by saying I love this lotion for my baby! At 7 to 10 months old daughter had a pink/dry spot on her belly for quite some time and it just wouldn’t go away. I tried a lot of products from coconut oil to Aquafor and none of them removed it. It started to get bigger (and dryer) and I was so worried that it wouldn’t go away or that it was some kind of allergic reaction. One pediatrician said it was allergies so I switched out lotions/laundry detergents/food and nothing worked. I decided to get a second opinion from a younger pediatrician and she recommended this lotion and said it was some form of dermatitis. I went to look for it at Target but it was so expensive! Amazon has everything so I ordered it for not even half the price, and a week later her dry spot was GONE! I couldn’t believe it and 2 months later I’m still using it and there are no signs of dry skin anywhere on her! I definitely recommend it to all my new mommies out there!",true,false,
R157DKVFQQK3PC," Not Just for Babies",Bella,https://www.amazon.com/gp/profile/amzn1.account.AEV2EYMYMOIRFPFRKU6TJZUG3ODA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"January 1, 2020","I have tried every lotion, cream, gel moisturizer and whatnot for my dehydrated, oily, and acne prone skin, and nothing has worked for me. This product honestly changed that. I noticed a huge difference after using this product, like how my skin just felt better, it was smoother, it doesn’t make my face look oily, and adds the perfect amount of hydration and moisture that my skin needs without it being too extra. Not to mention, it doesn’t even feel greasy on my face. Honestly, if you’re on the verge of giving up as far as moisturizers go, I’d say try this because it’s a life changer.",true,false,
R2KDFQ1KIA1MB0," First cream to help my baby's eczema!",Hannah Lee Donor,https://www.amazon.com/gp/profile/amzn1.account.AHJOV5QJHQK7J5K5WS6MNFGL7BXA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"May 11, 2020",This is the first cream that actually helps my toddler's eczema! We've been trying to find the right product since he was born and even tried prescriptions which would work but then it would come back as soon as we stopped the prescription (which he could only use 5 days in a row). So glad I've found something less harsh that just naturally moisturizes and heals the eczema!,true,false,
R202J5778TWMI," Perfect for sensitive baby",Brandi T.,https://www.amazon.com/gp/profile/amzn1.account.AEZOCE2CPMRP7DGSWWVX3PMD4IIQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"July 30, 2019",I bought this alittle over a month ago and already new to order a new one. My little one had mild baby acne when he was born and his cheeks were rough. This was the only thing that helped. We now put it on daily and his skin is so soft. He also has very sensitive skin so i was glad it worked. We were given a sample at our drs office and after a week of no break outs and his cheek starting to clear up i bought the full size one. I even bought the lotion for my toddler and everyone comments about how soft he is.,true,false,
R3K8X7RZ2N0OD2," Only eczema cream that worked!",CYoung,https://www.amazon.com/gp/profile/amzn1.account.AGD5JKSRMXXLTLS5DTAUHDPS5NCQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"July 16, 2020","My 4 month old had really bad eczema. We tried different steroids, Aveeno eczema cream, Aveeno sensitive cream, homemade creams with Shea butter, coconut oil, and oatmeal. None of those worked. However, this Cerave cream worked! After the first day of using I noticed a difference in his skin. This is the only thing we use for him now and his eczema is pretty much under control now. The only thing is i wish this came in a larger size.",true,false,
R5IVBY798Y9GH," Baby with eczema",Erick Samson,https://www.amazon.com/gp/profile/amzn1.account.AFOJBPIC4IJP5B4TYM6J433SFPCQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,3,"August 24, 2020",My baby has eczema and I’ve been putting this on his skin but I really feel like the skin doesn’t absorb it well. There’s no harsh or gross smell and it doesn’t make his skin break out any more than it is but it’s definitely not making a difference in the redness and dryness of the eczema spots for us.,true,false,
R34AS90QCXBLL1," Great for toddlers with eczema",Warner,https://www.amazon.com/gp/profile/amzn1.account.AGYTIVQ7VMN5VFNV7XYSEZIJ2VCA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,5,"November 23, 2020","This product works! My son started having a worsening case of eczema in his joint areas (crook of.elbows, knees, ankles etc.) I started using this along with the moisturizing cream of the same kind (CeraVe baby wash) and within three days his skin has started improving. His eczema is more than half better than when we started and looks like it will clear up completely.
The only downside is the smell is kind of weird; but I'll happily trade a nice scent for great results.
I will definitely be subscribing to this product.",true,false,
