review ID,review name,reviewer's name,reviewer's profile,review rating,review date,review text,verified purchase,vine customer review of free product,images,image 1
R20BFNVJ736JZB," I don’t usually write reviews but....",Sheri Watson,https://www.amazon.com/gp/profile/amzn1.account.AES7XSKPVKODXAU3FPO77IORHLJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"July 1, 2018","This stuff is AMAZING I wish I could give it 10 stars. My baby had cradle cap & baby eczema really bad, his entire face had broken out. Once I put this on his skin it cleared up in 2 days. My husband had a rash on his arm cleared that up too. I recommend this to anyone. In the pic is my sons face & the other side is 2 days later. As a matter of fact I’m ordering some more as soon as I finish typing this just to have it on hand.",true,false,https://images-na.ssl-images-amazon.com/images/I/71hkc4fnrWL.jpg,https://images-na.ssl-images-amazon.com/images/I/71hkc4fnrWL.jpg
R1S84VUJRC1QBJ," Best rash cream you'll ever buy!",N Love,https://www.amazon.com/gp/profile/amzn1.account.AFBZK5JVFV7HXSIPSHJAWSYC2KYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 27, 2017","I've been a Amazon Prime member for 5 years and rarely leave reviews but this cream is beyond amazing. Baby M has had baby acne and a terrible rash on her cheeks for weeks. Our doctor prescribed cortisone cream, which didn't work and told us to wash her face once a day with infant safe soap. Nothing was clearing it up, she was getting to the point where she would scratch the skin off her face even after I clipped and filed her nails.
So Honeybuns, thank you. It took but 4 days and her baby acne and rash are completely gone. Her big cheeks are kissble again! 5 Stars!",true,false,"https://images-na.ssl-images-amazon.com/images/I/61hglm3Nz8L.jpg
https://images-na.ssl-images-amazon.com/images/I/61sVi8rbPkL.jpg",https://images-na.ssl-images-amazon.com/images/I/61hglm3Nz8L.jpg
RY27HZWG1ALP3," Love this stuff",Ashley B,https://www.amazon.com/gp/profile/amzn1.account.AGPDCTKCFIDLXCK7RVMEJDVLKIFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"December 10, 2017","Love this stuff, my son had sever eczema and it cleared his skin up in three days!! I have sent his before and after photos. I use it daily to keep him from getting back to that aweful state. I also used it on his cradle cap and it fixed that as well.",true,false,"https://images-na.ssl-images-amazon.com/images/I/61yZhD13TLL.jpg
https://images-na.ssl-images-amazon.com/images/I/61zidLgFiwL.jpg",https://images-na.ssl-images-amazon.com/images/I/61yZhD13TLL.jpg
RGSZPXKHIWQ1K," Eczema and Diaper rash , Gone !",Izlan Swank,https://www.amazon.com/gp/profile/amzn1.account.AHTWGGYJUFQJFLKCU7SSBEJO3LFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"January 18, 2017","This healing balm was a complete game changer ! My daughters eczema came back so quickly this winter . She hadn't had it since she was about 5 months , and now at 14 months , it covered both of her cheeks . Her calendula cream and aquaphor no longer worked , so I started applying this a few times a day . By dayb3 it was almost completely gone . By 1 week you would have never noticed it was there . She then got a diaper rash a week later . I tried this and again , 3 days and it was gone . This balm is truly amazing for us !",true,false,https://images-na.ssl-images-amazon.com/images/I/71gtiFodHsL.jpg,https://images-na.ssl-images-amazon.com/images/I/71gtiFodHsL.jpg
RNOAKKQ6M1OVL," Texture is grainy and stung baby's skin",Jay En,https://www.amazon.com/gp/profile/amzn1.account.AF6AV26CWXS5M75EYVCXHOPP4APA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"January 31, 2020","Not sure if my container was defective or not but the balm was very grainy...It felt like sandpaper when applied. When I reached out to the seller and sent a picture, I never got any response so I suspect they agree that my product was bad. When I applied it on my son's skin, he screamed, so I think whatever spots was in there was too rough and stung him, not sure. Also, even though it is supposed to be fragrance free, it smelled like strong cocoa all the way...like really strong. Smell was not pleasant at all. Aside from the sandpaper specks, it felt basically like vaseline/petroleum jelly. It didn't help with his rashes/hives and he continued to scratch non-stop. Maybe I got a bad one but I'll never know cause customer service never got back to me. Thank goodness for free returns!",true,false,,
RKOGNDIDYZ2PX," It WORKS!! We bought Bella B Bee Gone ...",Kathie,https://www.amazon.com/gp/profile/amzn1.account.AGRHNUVM3QGIT4UWLPO2GF23ZIXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"April 13, 2017","It WORKS!! We bought Bella B Bee Gone Cradle Cap Baby Shampoo and Era Organic Healing ointment for my 3-month-old. After shampooing and pat drying his hairs, I applied this ointment immediately. Next morning, his cradle cap is almost gone (see picture). Although I am not sure if it was the shampoo or the ointment really helped, or maybe both.",true,false,https://images-na.ssl-images-amazon.com/images/I/71ZGjxk709L.jpg,https://images-na.ssl-images-amazon.com/images/I/71ZGjxk709L.jpg
R1OVVGC07HRAM0," FINALLY",LMer0517,https://www.amazon.com/gp/profile/amzn1.account.AGUOII4TFESJI4D2EE7DBOXNRD6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 9, 2017","My son has eczema around his eyes, inside elbow joints, behind both knees, on anterior shoulders above arm pits, and rough ""crocodile skin"" on his back. Nothing has helped. I have tried 34 different lotions, ointments, creams, oils...nothing has worked. Until now!!!
I have been using honeybuns around his eyes and the scaley, flakey, and reddened skin has improved by 85% in just a few days!

I am so in love with this product. I have ordered more from the line so I can see how the formulations work on my own sensitive skin.
Thank you for this amazing product!",true,false,,
R7ETBL9H45DQR," KEEP ON TRYING, IT WORKS!",Hope Keijzer,https://www.amazon.com/gp/profile/amzn1.account.AGZMGU27IV2ZWTJMWBC66PZIHHTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"December 26, 2018","One of our twins kept getting really super super dry skin around her ankles, top of her feet, little dry bumps on her legs and then the irritated dry skin babies can get behind their knees in the creases. When I say dry, I mean horrible, thick, insane dry patches on tops of her feet. The doctor said to try vitamin E, we were trying coconut oil, neither really made a difference that we could see, then... we tried this stuff. One thing I can say first and foremost, keep using it consistently, don't give up because it's messy, or the baby doesn't want to sit still or you think it isn't working well enough in a few days. Use it every time you change a diaper, after a bath or just when you notice it's rubbed off. At first we put it on very thick and then loosely wrapped some gauze and then put socks or pants on to keep it in place. Do this for about 3 days, you will start to see improvement, it might not be a significant difference, but you will. After that just keep using it, and little by little it will get better. As it starts really healing the skin will be very itchy, so your little one might need your help. Our little one kept sliding her ankle and foot around on the floor which was bad if she was not covered because she would rub her skin raw, so we had to keep socks on her all day and then let her skin breathe at night while she was sleeping. I have to say after daily use, this stuff has made a huge difference in our little girls skin condition and has helped her heal and feel comfortable and normal again. It's very difficult to watch your little one suffer with something like this, but thanks to this wonderful ointment, we are all feeling better and our little one seems happy again. Thank you!",true,false,,
R34GUUDZMKR31K," It's helping my baby eczema",Rewjet,https://www.amazon.com/gp/profile/amzn1.account.AEJW62LZMOIRFPBN2JKHGQJNJVTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"January 31, 2021","I have two daughters. I tried several expensive and popular creams (Evereden, Mustela, Pipette, Eucerine, Aveeno, you name it) God knows how much money I spent trying different products. This is the only safe ointment that didn't cause a burning/redness reaction on my baby's sensitive skin. I have eczema so naturally, my baby has the same. Between her cradle cap (dermatitis seborrheic), the baby acne, and eczema I was completely overwhelmed trying several products. Many of them helped on the cradle cap but triggered eczema so I just want to share that many products can help on something but make things worse in other babies' skin areas.

This ointment helped specifically on my baby's atopic dermatitis (a type of eczema), her legs were like leather, dry and itchy so what I am doing is after each bath with lukewarm water + baby wash foam (fragrance-free / no harsh soaps) I apply this ointment immediately on her body within 3 min to lock moisture. It really made a difference and my baby's eczema, now her legs are softer. I am still using it, so once I finalize the treatment I will update this review with pictures. Also, I saw a negative review about the ointment has a grainy texture, but that is how to suppose be since 99% of ingredients are oils and beeswax, you need to melt the ointment in your hands first to spread it smoothly on the skin. I guess the product description should mention that, but if you struggle with the application do this and you will notice the difference.

Note: This ointment didn't work on my baby cradle cap (dermatitis seborrheic) ONLY worked in her eczema / atopic dermatitis. It's important to understand that those conditions are different. The cradle cap is an excess of sebum so adding more oil can soften the yellow crust and flakes but doesn't clear it. At least that's my experience after my research.",true,false,,
RI4X75GFHZ7OM," Do not recommend",DenisseSokol,https://www.amazon.com/gp/profile/amzn1.account.AFA25EHJ7ATC7ZBB6MEM2FVJEIRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2,"November 26, 2019","Man, I really had high hopes for this product but it has really let me down. I've had it for almost 5 most and here's a list of things I've tried to use it for and their results:
Cradle cap on daughter's eyebrows: this seems to be the only thing this balm was very effective for as it eliminated it and it hasn't returned.
Cradle cap on head: I do NOT recommend putting this on your baby's head if he/she was born with a lot of hair! My daughter was born with a lot of hair, shes almost 6 months old and and the hair on top of her head is pretty long. I put this stuff on her head and combed it through and it left the most awful residue imaginable on her hair. It looked like I dipped her in cooking grease and after 2 shampoos, It still wont come out. On the plus side, Her hair is so greasy, you cant see if there's any cradle cap left, maybe?
Diaper rash: this actually gave my daughter a diaper rash after I tried using it as a rash preventative.
Eczema: did not help with eczema and it made her break out on areas where she wasn't having an active rash.
Rash in general: nope. Didnt do anything.

I wish had had as much luck as other reviewers did.
Edit: it took 4 washes to get this stuff off my daughter's hair and once all product was washed off, her cradle cap looked the same as it did before.",true,false,,
