review ID,review name,reviewer's name,reviewer's profile,review rating,review date,review text,verified purchase,vine customer review of free product,images,image 1,image 2
R1TCMRB7E63BQJ," Wayyy better than all other eczema products!!",Carlo,https://www.amazon.com/gp/profile/amzn1.account.AHF75JG4WFIOFUGUQQGAY5EZAFPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"December 14, 2017","Amazing!!! Our 3 month old had a really red/dry/flakey patch on her cheek and we started using the eucerine eczema lotion which helped a ton and then we used this for one day and her patch is almost all the way gone. We also use the eczema lotion on her torso and legs and it’s helped get rid of little bumps she was getting all over. Definitely recommend!!

**we also tried Burt’s bees, mustela and aveeno eczema lotions and they didn’t even compare to the eucerine eczema products!!",true,false,"https://images-na.ssl-images-amazon.com/images/I/61Eob052zcL.jpg
https://images-na.ssl-images-amazon.com/images/I/61f-wNdnqpL.jpg",https://images-na.ssl-images-amazon.com/images/I/61Eob052zcL.jpg,https://images-na.ssl-images-amazon.com/images/I/61f-wNdnqpL.jpg
R1Y95QOJ2PCFXO," If your baby has really bad eczema, you MUST try this lotion!!!",Mags,https://www.amazon.com/gp/profile/amzn1.account.AGLRFM6QR6IE7N5TL3WIV24K4G6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"February 1, 2016","So, I have an almost 5 month old baby boy who was born with perfect skin and developed eczema at 4 weeks old. For the most part his skin has been usually rough and bumpy throughout his face and body. As soon as I noticed his problem I began using Aveeno lotion and wash. But his skin continued to get worse. I switched to exederm which helped his skin but didn't take the roughness and dryness away. While I continued to manage his skin condition, still it being rough and dry my baby had a really bad ""flare up"". He developed raw patches behind his knees, neck and arms. I was extremely stressed out and he didn't have an appointment until the week after. In the meantime I ordered several lotions to try. The first one I used was Eucerin eczema baby. I put lotion on him several times a day, just like I did with the ones I previously tried on him. The next day, my baby's face was no longer red or rough, still appeared a bit dry. The lotion didn't appear to sting or burn. By the second day I used this lotion, his skin was soft, and no longer dry. You have to give a try. I will stock up on Eucerin eczema baby for as long as I have to. I love how it helped my baby.

This is my honest review and I have NOT received anything in exchange for my review.",true,false,,,
R2886HK8M8LRAT," In 3 days eczema is nearly gone!",Kristen,https://www.amazon.com/gp/profile/amzn1.account.AF3NXALMHYHME752ZA7GUT7YXU6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 22, 2019",Since my son was 3 weeks old when he had this patch of eczema appear on his face and several patches on his arms and legs. He is 6 months old now and we've never been able to fully get rid of it. I've tried several products and so far this has had the fastest and best results. The before and after picture shows how much his skin has healed in 3 days with 2-3 applications a day. Hopefully we can get rid of his eczema for good this time!,true,false,https://images-na.ssl-images-amazon.com/images/I/61K8bhQPM-L.jpg,https://images-na.ssl-images-amazon.com/images/I/61K8bhQPM-L.jpg,
RH61LXEWTPU26," My favorite hand cream",PM Customer,https://www.amazon.com/gp/profile/amzn1.account.AE2ZPXTJDXJIELJNQTH33KWIETXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"December 12, 2018",I'm a pediatrician and have used many different over the counter eczema creams trying to find one I like the best. This is it! This is my all time favorite. I use it frequently during the winter when my hands get excessively dry from frequent washing. There is no smell to it. It is a thick cream without being overly greasy. I can usually go 2-3 handwashings before I feel I need to reapply it.,true,false,,,
R1N2S6Y9GZ1609," Finally something that worked!",Angela M.,https://www.amazon.com/gp/profile/amzn1.account.AEHD3ZQGDSNS7K32YOSMIALQHFBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"July 31, 2020","Soo I don’t usually write review unless I absolutely love something and I really just have to give credit here! My daughter developed eczema and allergic rashes at 3 months old. We have been battling this for three months using every kind of cream, ointment, and even having to resort to hydrocortisone because it got so bad as pictured and looked very painful in her elbow creases, behind her knees, and on her face. We kept using hydrocortisone per the pediatrician and allergist and as soon as we stopped, it would come back worse. So I decided to try this cream and it has not come back!!! I use it three times a day before her naps and right after her nighttime bath. She used to wake up 13 times a night due to her itchiness but now only wakes up twice to nurse! We will definitely keep using for the future.",true,false,https://images-na.ssl-images-amazon.com/images/I/414SQfWFVaL.jpg,https://images-na.ssl-images-amazon.com/images/I/414SQfWFVaL.jpg,
R30UFF2GHYVL5P," IT WORKS!",Julie,https://www.amazon.com/gp/profile/amzn1.account.AEZITU7A5BRLZUZVQWZ2WJJMW6WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 14, 2019",I order A TON of stuff from Amazon and rarely write reviews but this product certainly earned one. I have a 5 month old and we’ve been trying to figure out a (non-steroidal) solution for his eczema for 2.5months. We’ve been applying the cream (the 2oz flair up cream) 2-3 times/day for about 4 days and already see a dramatic difference both in the appearance of his rash and his level of comfort. I use the Eucerin on his face because that’s where his eczema is the worst. (I use Cera-ve on the rest of his body and that seems to keep the body patches well controlled.) The cream is a little expensive but so are most eczema creams right? This one works for us- not promising it will work for your baby but definitely worth a try.,true,false,,,
R1V6RNCWQEK0UC," TEST PATCH OF SKIN FIRST BEFORE USE",NJY808,https://www.amazon.com/gp/profile/amzn1.account.AFEHVBWGLQKYJQE5M2KC43GKDLTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"February 3, 2018","Caused a HUGE red rash everywhere I applied this on my baby. I tried it on her face (her cheeks have been dry and doc said eczema), and it kinda helped, so I thought since it's ok on her face, body should be ok too. Nope. Her rash finally cleared after 3 days. I tried the aveeno one and it barely worked but I don't get if they have the same ingredients, why the rash now? TEST a patch of skin, don't be an idiot like me.",true,false,,,
R1ERM0ZZ9BLCK5," The best thing for my son's eczema",Ashley Pfohl,https://www.amazon.com/gp/profile/amzn1.account.AGGMAFHZE37WN4X76TE6TYKF5DGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"March 28, 2018","I've tried tons of lotions on my son's eczema, including really expensive ones like Mustella (which has rave reviews but didn't do anything for us) and this one is the best. It's a lot thicker than other brands and is the only thing that seems to help at all. We do just buy the regular tube now, not the ""baby"" one, because the ingredients appear to be exactly the same. The price works out to be really similar, but the regular tube is a lot bigger so it lasts longer for us.",true,false,,,
R3FR5O9G64891A," So good it hurts! Lol",Ryan Roemer,https://www.amazon.com/gp/profile/amzn1.account.AHSC4ELOO62C7454BHV3QFYMBTQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,"July 21, 2017",Absolutely love this product because it seems to be the only lotion that really makes my son's dry eczema skin soft and moisturized. The only reason I gave four stars instead of five is because I cannot put it on him after I give him a bath if he does have an eczema flare up because it seems to burn and he cries a lot. However if his pores are not open it works very well and he doesn't seem to have any pain. Other creams seem to just lie on the surface and his skin is rough and dry within minutes. This cream lasts long and he feels so smooth and supple. Works great as a maintenance cream or as a barrier cream when using steroids or other medications for problem skin.,true,false,,,
R3P6YSIO51GU6," Miracle worker!",Krystleyvonne,https://www.amazon.com/gp/profile/amzn1.account.AEHOLE4ATPRVDFMDVWC43KNEUAYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"January 1, 2020","Wow this product is a miracle worker! My 1 year old has had some seriously rough and bumpy skin an her stomach and chest. I bought sebamed from Costco thinking it would work to reduce the roughness. Tried for a couple months but it did nothing. Went to her doctor and she gave me a few tiny samples of this. I only needed to use it 3 or 4 times and the bumps were almost gone. I bought this through amazon (great value) and her stomach is so smooth and soft it’s incredible. Completely different skin on her stomach. I even wrote a thank you letter to the company. If you or your child suffers from rough/bumpy skin this product is a MUST have, and for 6 bucks you can’t go wrong. And another great thing is there is no yucky fragrance scent!",true,false,,,
