review ID,review name,reviewer's name,reviewer's profile,review rating,review date,review text,verified purchase,vine customer review of free product,images
R3N0ADD1AW5I2A," Contains BHT",CJ,https://www.amazon.com/gp/profile/amzn1.account.AH4YB5ZEFH665NEW5CYWR3IRP5GQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2,"October 25, 2019","Originally our pediatrician recommended this lotion based on her dermatologist colleagues reviews. Because our little guy was going through some uncomfortable eczema flare ups on his face and arms we were willing to try any relief at that point.

The initial use was super effective- it added a nice moisturizing layer that seemed to soothe his skin almost immediately. We loved it until we started reading the ingredient list and noticed that it contained something called BHT.

Going down the google rabbit hold you'll see that this is found mostly in stuff like cereals, lipsticks etc because its a food preservative. Basically it prevents the chemical bond in fats and oils from transforming into different chemicals which may have foul smells when it comes it contact with oxygen. Bottom line - it's kind if scary. But I guess anything synthetic is really.

Anyhow the FDA deems this product as generally safe but the National Institute of Health says its reasonably anticipated to be a human carcinogen. Wow! I wasn't ready to start taking our chances no matter how low the dose of BHT was or how beautifully it worked on his skin.

Needless to say we made the decision to return and started treating it with coconut oil.",true,false,
RUI8MLMA48P33," Great",Noah,https://www.amazon.com/gp/profile/amzn1.account.AH7KJUOX6VO6S3FUL3U3CE4CT4RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"August 28, 2019","This wash is basically the same as the Vanicream gentle facial cleanser, which I love. I've used Vanicream's normal gentle wash but that made me itchy in uncomfortable areas so I stopped using it. One person gave this wash a one-star review stating that disodium EDTA is a formaldehyde-releasing agent which is completely false. Disodium EDTA is used in cosmetics to chelate (surround) a variety of metals which reduces their reactivity and in turn makes them less harmful when used by us consumers. Please educate yourselves and do your research before believing in something someone says online!",true,false,
R1Y4F9EH0CXBY2," This is the same Vanicream formula with Baby added to the name. Save the extra bucks!",Julie,https://www.amazon.com/gp/profile/amzn1.account.AE7TEGNPUIOQQLEGVJOKSSAJZXBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"December 30, 2019",I asked on the Vanicream Facebook site what is the difference between this Baby formula versus the original. Vanicream responded that there is none. So basically you are paying a couple dollars more for the “Baby” labeling.,true,false,
R2VFC5TW7AG1L6," I don't recommend Vanicream Baby Wash for sensitive skin, caused a bad rash!",IHeartOnlineShopping,https://www.amazon.com/gp/profile/amzn1.account.AFC4CJA44L4SHBKA23OMLWIQ4EGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,"December 29, 2019","When Aveeno and then Alaffia changed their body wash recipes, I started looking for a replacement. A few different people and a lot of online reviews recommended Vanicream Baby Wash so I decided to give it a try.

The ingredients in Vanicream are pretty straight forward: Purified Water; Glycerin; Coco Glucoside; Sodium Cocoyl Glycinate; Acrylates Copolymer; Caprylyl Glycol; Mica; Sodium Chloride; 1,2 Hexanediol; Titanium Dioxide; Sodium Hydroxide; and Disodium EDTA.

My first impression of Vanicream Baby Wash was a really good one. It was fragrance free like it promised, it lathered well, and made my skin feel smooth the first time I washed my hands with it. However, after using the product for three days my hand started to break out in a bad, bloody rash.

Upon development of the rash I stopped using Vanicream Baby Wash, but the rash would not go away. I tried every lotion, anti itch cream, and rash cream I've ever used in my life and nothing worked. Hydrocortisone even failed to clear it up. Eventually my doctor gave me a prescription steroid cream which cleared the rash up.

I cannot recommend this product for sensitive skin as I have extremely sensitive skin and developed a bad rash. I don't know which ingredient caused it, but Vanicream Baby Wash is definitely not the right body wash for me.",true,false,https://images-na.ssl-images-amazon.com/images/I/71YdCx0DGvL.jpg
R24DSV9L4XLYT9," Amazing product",Kelsie,https://www.amazon.com/gp/profile/amzn1.account.AF5BYDVLAMQZTRXFLA5BKGVAGHVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"May 28, 2019",I’m a big believer in the Vanicream brand for myself and was very excited to see they have a baby line as well. My son has eczema and this product has been working great for him as well as the Vanicream Cream for Baby. Thank you Vanicream for making such a great products for adults and now children!,true,false,
R3QUUBYEKTLE82," **The-best** that you will find for your baby!!!",Ilona Orol,https://www.amazon.com/gp/profile/amzn1.account.AFXTSFK5XIXBPF5ZWCLMSMMQT2LQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"November 5, 2019","This cream transformed my daughters skin completely!! She has extremely sensitive skin, this cream has no scent at all!
In the beginning I didn’t liked it so much because of the feeling on my hands.. when it’s starting to absorb it’s kind of sticky .. but oh my.. I saw the results on my baby’s skin.. and it so much worth it and I’m used to the feeling already!
Will buy again and again.. this is the second that I bought.
Put it after every bath ..it’s very effective with rushes especially from baby’s celibate.. if your baby teething and it’s all over the face, neck & chin.. I put a thin layer after bath all over the neck especially under the chin and it’s protecting her skin all day long.
Very satisfied!",true,false,
R2V55SD9E1ZU5A," Cleared up my kids’ eczema 100%!",Mary B.,https://www.amazon.com/gp/profile/amzn1.account.AFQAAKGR6EC37MJOLBJW4XKZQORA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"July 23, 2019",This was amazing for my kids’ eczema. Cleared it right up! It has to be free of so many ingredients and this is the only one that worked for us!!,true,false,
R1F3AX0EKBLBWC," Eczema is all gone!",Erin,https://www.amazon.com/gp/profile/amzn1.account.AF6FSLD5E4GFIVZ4O25FZVYHRDIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"December 16, 2020","This is Amazing!! My 6 month old baby had eczema on her face and legs. When I applied aveeno Cream, the eczema got worse. So, it's been about 2 weeks since this product was recommended and used. The red eczema is all gone!!😭 I didn't use any other cream or balm, I only used this cream. The eczema is all gone! I ordered another one right away! Thank you so much!",true,false,https://images-na.ssl-images-amazon.com/images/I/71MPpb83FmL.jpg
RIIZ6PRXJ0FY1," child's dermatologist ""prescribed"" it",Joe,https://www.amazon.com/gp/profile/amzn1.account.AGC7GTIEN5KSG4NAEKZWQKXBYJ3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"October 23, 2019","My 4-year-old suffers from eczema since birth. After I tried so many different products our dermatologist forbad everything else other than Vanicream products. Let me see bar soap, shampoo, lotion, cream, ointment cream, hand soap, and sunscreen. All vanicream and all happy.",true,false,
R1Q9S25UQKRG04," Food allergy’s and eczema kid approved",Jocelyn Marshall,https://www.amazon.com/gp/profile/amzn1.account.AGXACRJ357PZ5JG634EQZMDINVQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,"January 23, 2021","This is THE BEST and only lotion I can use on my son that has many food allergies and skin sensitive. It doesn’t sting on open eczema cuts and raw skin. It’s soothing and effective. We have been using for 5 year’s now. No issues and in the past we have uses many other brands(countless, 20 different ones recommended ones in all price ranges). We’ve tossed all other away and only buy Vanicream. It last long. My son has reactive skin to lotions and sunblocks. He will break out in hives with some lotions due to the ingredients and plants used. He also has grass allergies so lots of plant or nut butter oiled based lotions trigger a reaction. Vanicream has been the best for us and we love the soaps and sunblock as well.",true,false,
